atributo_1,atributo_2,classes
-5.111509586722265,-7.586109780048857,2
-1.5964272771604238,9.375616106825676,0
-8.822519377613126,7.921300809171914,3
4.224830610488197,2.17667406764182,1
1.6916243682959125,3.9820816546219877,4
4.41694448032204,1.7895583342658226,1
4.595435794049939,2.8463842892140785,1
-7.610141084204631,8.2547834132653,3
-7.45565088577089,-8.031752994582401,2
3.907050384671007,3.7792951962514985,1
3.7756494012710795,0.9587232045843941,1
5.602646881748419,2.4004784377535193,1
3.250398575461523,3.654337694016567,4
1.7471240485264063,3.885431926666198,4
3.4574294917682815,4.749618169005066,4
-8.400409488050261,-6.362923448843131,2
2.3666288455933926,5.031619114285836,4
4.40375565613223,2.4203559481203527,1
-7.468427662574475,-7.403070732582798,2
3.0189434391112293,1.8212787302099462,1
-9.410414027661451,7.688922485454987,3
1.951714404097238,2.554450849688413,4
-8.031383028073003,-6.004666351111107,2
-5.777933244344664,-6.915826026341397,2
-7.768473421980504,6.877370663651843,3
-8.84235989834068,8.091768428449772,3
2.505910925687142,4.742694750583703,4
-2.277636764772223,7.875616692293212,0
-5.658868899033116,-6.080697748169691,2
-8.79321510913906,6.5182384261455635,3
2.492125855098308,3.8463820435868774,4
4.981987896669996,1.7845390293321697,1
3.6632911825836003,2.9212306971874265,1
-8.54935038589683,5.517338302983299,3
-8.241791707950851,-7.518943050276727,2
4.33950074646615,1.4408514724862722,1
-9.08491687166055,8.277526620523957,3
-1.2080530353656627,9.203120579257817,0
-1.7130634909258653,9.764180059601266,0
-7.0513443275093755,-6.2055949114259485,2
4.895789210511631,2.72738066406258,1
-4.007602287797247,10.649871373958277,0
-2.703330792194448,11.07851964715094,0
-8.235810396446876,-7.789696521306465,2
-5.813303556739939,-7.561962321293286,2
-2.295616996550702,10.357145299677327,0
2.5456099534425203,4.7983042819598865,4
0.7507488771798463,3.384078919655389,4
-7.252566815468022,8.255995823634738,3
5.0226197968956665,0.9865138948460801,1
5.027815593157892,2.133555798093888,1
-9.504162310221865,7.342639677457098,3
-5.734221836292237,-6.7899970997814,2
-6.881551395428692,-8.050713046926077,2
-7.302857768638169,-7.532346542191105,2
-9.073211606092544,6.35069131747037,3
4.546467539183057,1.4393910944314134,1
4.02952037810834,1.3630155831449375,1
-5.174335687631581,-6.911900959700352,2
2.32890602201472,4.8131601983423264,4
-6.06138322046522,-6.663292280146967,2
-6.998529721928171,-6.682352778944147,2
5.269757572907979,2.1601976569434105,1
-9.39683167947254,8.402401983469877,3
5.2608676270143695,2.4320847184499996,1
-8.842575933747055,7.074570333790534,3
-6.8010576849984785,-6.879780982575207,2
4.38635319734354,3.227289971770735,1
-9.970420771545275,7.2197132086307825,3
3.198565769188292,2.315424968785196,4
2.387634996868487,3.883826182793962,4
1.9099901290507644,4.475676795568104,4
-2.6065874260796504,8.74532313886491,0
2.931107599868782,4.523364298251911,4
5.373589765444511,2.958016006625184,1
5.9180382969968335,0.6125641347130635,1
-7.644991634489314,7.014956341837727,3
-1.902601802128912,7.61038944696452,0
-7.9409014231556805,7.593937035282151,3
-8.314312599638798,7.220813687599734,3
-7.112391933927191,6.11790757975003,3
-1.071048401573132,9.52696041721193,0
-8.453007330641677,-7.486168531123051,2
1.9870469276023959,2.9695021424339556,4
-8.601387204240995,7.773141967534664,3
-4.126636535022309,8.933261553237095,0
1.5778194285438654,5.307153313687914,4
-5.930148397876763,-7.092597280961447,2
4.24439874026855,1.7288167128658216,1
3.890680185521892,1.2163474871490414,1
1.598041600122673,3.1230260601352704,4
-7.51209943956198,-6.486009999116323,2
-3.001507470862761,7.486082783173481,0
-9.202602772545305,7.715878738069976,3
-1.281611941617138,9.912185503160849,0
-3.2195679723340476,9.83659324134505,0
-5.74237078154488,-8.321094896752186,2
-6.8638411413743805,-5.8942900763824335,2
2.1938311029307767,3.6564612948778743,4
-2.3186605781410474,8.34166861627942,0
0.2750382768970907,4.241495686030021,4
-8.81101617649027,6.976417258788997,3
-7.708777083612123,-6.11794910184176,2
4.007995667354524,1.844808360025135,1
1.3627475118490757,2.977018750582619,4
-9.947986401731935,7.7938703420292335,3
-9.182430429458938,7.732364273265195,3
-8.523991924781175,7.006382269864701,3
-6.019886833128988,-6.971791224543284,2
-7.788499826590309,-6.519236565290015,2
2.8003460034856373,4.2556794803771565,4
-5.8641025416031844,-6.856082509502519,2
5.117113545446547,0.5664864612267881,1
2.499925277248587,2.9314141615423166,4
-6.837614374871598,-7.1794284841948715,2
-6.813545873211943,-6.416993814311895,2
-7.5354561612962545,7.859992159878008,3
0.6561157686782009,3.663864521935142,4
-2.4049118609270623,9.082196721419654,0
-9.534967957288112,6.212715727061941,3
1.615826632369953,4.158322995707553,4
-2.3587389374593317,8.333341742240334,0
-1.871850294979454,9.588735763268083,0
-1.1286425888009335,9.111761699504285,0
-2.2612817995482426,7.995417689321042,0
1.6271525976559722,4.653911235134154,4
4.143939906776437,3.88088566663823,1
2.1517315196428544,4.54303946548398,4
3.1154199731370795,0.2508889624669641,1
-7.993957575940555,-5.765148866860499,2
-2.0678534372479747,10.531797126495986,0
-6.270415963741901,-6.39579107981546,2
-6.534626631767198,-6.7912196220772145,2
-8.291716545079135,6.7676017850032535,3
-9.289259757002402,7.140939582653514,3
-8.438935770313758,7.148504540876342,3
3.5704087124982866,1.5618585993012177,1
2.3395536695196606,3.39956316666054,4
-1.9464039044727302,8.952028979289143,0
5.166831487352596,0.6860284443842488,1
-7.66983690074457,-7.185864443563954,2
2.2277953620474653,4.443477993220867,4
2.137055376633298,4.411139814155029,4
